Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
AgentBrain,0.575,5.938,4.552,10302,-0.348
AgentBrain,0.424,10.593,3.909,10327,-0.418
AgentBrain,0.425,15.261,3.907,10277,-0.441
AgentBrain,0.428,19.986,3.977,10293,-0.449
AgentBrain,0.415,24.494,3.738,10303,-0.473
AgentBrain,0.418,29.003,3.779,10245,-0.463
AgentBrain,0.422,33.570,3.812,10293,-0.455
AgentBrain,0.473,38.288,3.942,10265,-0.459
AgentBrain,0.447,42.915,3.883,10298,-0.449
AgentBrain,0.417,47.609,3.951,10278,-0.452
AgentBrain,0.427,52.286,3.967,10303,-0.457
AgentBrain,0.423,56.991,3.943,10351,-0.450
AgentBrain,0.422,61.567,3.842,10244,-0.438
AgentBrain,0.451,66.210,3.844,10256,-0.426
AgentBrain,0.419,70.902,3.989,10268,-0.408
AgentBrain,0.452,75.526,3.857,10278,-0.379
AgentBrain,0.430,80.356,4.108,10308,-0.362
AgentBrain,0.412,84.857,3.777,10304,-0.357
AgentBrain,0.414,89.603,4.010,10286,-0.335
AgentBrain,0.425,94.234,3.885,10290,-0.310
AgentBrain,0.421,98.915,3.916,10304,-0.279
AgentBrain,0.416,103.593,3.938,10282,-0.255
AgentBrain,0.444,108.290,3.888,10345,-0.226
AgentBrain,0.408,112.980,3.967,10242,-0.193
AgentBrain,0.442,117.689,3.902,10323,-0.153
AgentBrain,0.419,122.495,4.073,10261,-0.115
AgentBrain,0.414,127.237,3.985,10320,-0.088
AgentBrain,0.414,132.076,4.046,10268,-0.060
AgentBrain,0.435,136.875,4.006,10251,-0.029
AgentBrain,0.413,141.694,4.046,10257,-0.001
AgentBrain,0.417,146.362,3.908,10246,0.026
AgentBrain,0.411,151.093,3.939,10350,0.050
AgentBrain,0.408,155.800,3.939,10315,0.074
AgentBrain,0.412,160.561,3.995,10260,0.097
AgentBrain,0.413,165.288,3.952,10249,0.114
AgentBrain,0.410,169.976,3.927,10255,0.137
AgentBrain,0.427,174.687,3.933,10253,0.158
AgentBrain,0.413,179.450,3.990,10269,0.177
AgentBrain,0.417,184.173,3.948,10311,0.194
AgentBrain,0.457,188.943,3.958,10272,0.213
AgentBrain,0.413,193.728,3.987,10354,0.223
AgentBrain,0.419,198.499,4.000,10250,0.237
AgentBrain,0.422,203.196,3.904,10262,0.249
AgentBrain,0.422,207.927,3.952,10241,0.263
AgentBrain,0.416,212.738,4.036,10241,0.274
AgentBrain,0.421,217.572,4.055,10298,0.285
AgentBrain,0.411,222.284,3.950,10247,0.294
AgentBrain,0.424,227.016,3.940,10257,0.304
AgentBrain,0.418,231.736,3.956,10253,0.314
AgentBrain,0.422,236.541,4.010,10284,0.326
AgentBrain,0.417,241.314,4.000,10246,0.335
AgentBrain,0.422,246.198,4.062,10299,0.345
AgentBrain,0.419,250.890,3.934,10250,0.355
AgentBrain,0.427,255.724,4.058,10329,0.363
AgentBrain,0.442,260.603,4.066,10245,0.370
AgentBrain,0.414,265.365,3.994,10287,0.377
AgentBrain,0.442,270.285,4.128,10247,0.384
AgentBrain,0.435,275.120,4.064,10287,0.390
AgentBrain,0.434,279.980,4.076,10250,0.396
AgentBrain,0.441,284.880,4.119,10241,0.403
AgentBrain,0.416,289.991,4.337,10241,0.409
AgentBrain,0.421,294.740,3.986,10247,0.414
AgentBrain,0.441,299.631,4.092,10250,0.418
AgentBrain,0.437,304.475,4.058,10292,0.426
AgentBrain,0.426,309.272,4.003,10244,0.431
AgentBrain,0.416,314.036,3.997,10241,0.435
AgentBrain,0.429,318.904,4.101,10247,0.440
AgentBrain,0.421,323.716,4.073,10312,0.445
AgentBrain,0.426,328.541,4.035,10269,0.450
AgentBrain,0.420,333.438,4.145,10242,0.454
AgentBrain,0.423,338.221,4.020,10241,0.459
AgentBrain,0.420,343.036,4.051,10257,0.464
AgentBrain,0.419,347.844,4.060,10276,0.467
AgentBrain,0.418,352.680,4.075,10249,0.472
AgentBrain,0.418,357.399,3.967,10251,0.477
AgentBrain,0.426,362.282,4.107,10242,0.481
AgentBrain,0.426,367.113,4.046,10250,0.486
AgentBrain,0.417,372.013,4.125,10245,0.490
AgentBrain,0.419,376.772,3.984,10261,0.494
AgentBrain,0.421,381.571,4.033,10287,0.497
AgentBrain,0.419,386.405,4.059,10293,0.501
AgentBrain,0.424,391.217,4.016,10254,0.504
AgentBrain,0.422,396.029,4.032,10248,0.508
AgentBrain,0.423,400.850,4.047,10252,0.511
AgentBrain,0.423,405.714,4.073,10257,0.514
AgentBrain,0.426,410.502,4.021,10245,0.517
AgentBrain,0.424,415.356,4.075,10249,0.520
AgentBrain,0.424,420.257,4.090,10305,0.523
AgentBrain,0.420,425.089,4.049,10312,0.526
AgentBrain,0.424,429.972,4.099,10303,0.529
AgentBrain,0.418,434.815,4.079,10244,0.531
AgentBrain,0.420,439.644,4.046,10296,0.533
AgentBrain,0.423,444.497,4.079,10242,0.536
AgentBrain,0.427,449.333,4.044,10298,0.540
AgentBrain,0.419,454.208,4.098,10258,0.542
AgentBrain,0.434,459.072,4.065,10264,0.545
AgentBrain,0.437,463.929,4.099,10247,0.547
AgentBrain,0.449,468.793,4.092,10246,0.550
AgentBrain,0.443,473.729,4.142,10249,0.552
AgentBrain,0.434,478.669,4.163,10252,0.555
AgentBrain,0.426,483.548,4.112,10262,0.558
AgentBrain,0.422,488.408,4.082,10266,0.560
AgentBrain,0.420,493.232,4.038,10243,0.562
AgentBrain,0.432,498.135,4.122,10253,0.564
AgentBrain,0.435,503.067,4.135,10247,0.566
AgentBrain,0.422,507.911,4.070,10306,0.568
AgentBrain,0.420,512.805,4.101,10245,0.569
AgentBrain,0.424,517.563,3.993,10243,0.571
AgentBrain,0.431,522.488,4.114,10299,0.573
AgentBrain,0.423,527.284,4.041,10283,0.574
AgentBrain,0.423,532.145,4.091,10258,0.576
AgentBrain,0.433,536.966,3.942,10266,0.576
AgentBrain,0.427,541.285,3.587,10267,0.576
AgentBrain,0.424,545.603,3.574,10303,0.575
AgentBrain,0.422,549.934,3.613,10257,0.575
AgentBrain,0.419,554.252,3.571,10283,0.574
AgentBrain,0.425,558.593,3.598,10357,0.574
AgentBrain,0.435,562.996,3.669,10295,0.574
AgentBrain,0.419,567.347,3.597,10264,0.573
AgentBrain,0.417,571.615,3.557,10252,0.573
AgentBrain,0.422,575.940,3.588,10280,0.572
AgentBrain,0.420,580.240,3.576,10265,0.572
AgentBrain,0.419,584.595,3.613,10259,0.571
AgentBrain,0.419,588.957,3.628,10272,0.571
AgentBrain,0.440,593.214,3.511,10298,0.570
AgentBrain,0.419,597.632,3.675,10287,0.570
AgentBrain,0.422,601.928,3.568,10304,0.569
AgentBrain,0.417,606.209,3.561,10280,0.569
AgentBrain,0.422,610.584,3.650,10299,0.568
AgentBrain,0.424,614.990,3.689,10338,0.568
AgentBrain,0.426,619.321,3.593,10258,0.567
AgentBrain,0.422,623.659,3.613,10299,0.567
AgentBrain,0.419,628.052,3.649,10277,0.567
AgentBrain,0.417,632.382,3.606,10288,0.566
AgentBrain,0.420,636.750,3.637,10264,0.566
AgentBrain,0.421,641.130,3.626,10272,0.565
AgentBrain,0.429,645.489,3.622,10341,0.565
AgentBrain,0.417,649.889,3.673,10241,0.564
AgentBrain,0.421,654.282,3.665,10251,0.564
AgentBrain,0.424,658.713,3.685,10268,0.564
AgentBrain,0.426,663.066,3.630,10292,0.563
AgentBrain,0.422,667.506,3.698,10285,0.563
AgentBrain,0.423,671.934,3.707,10285,0.562
AgentBrain,0.420,676.276,3.608,10307,0.562
AgentBrain,0.422,680.740,3.731,10285,0.562
AgentBrain,0.431,685.258,3.796,10355,0.561
AgentBrain,0.416,689.659,3.651,10262,0.561
AgentBrain,0.421,694.187,3.802,10262,0.561
AgentBrain,0.423,698.555,3.640,10247,0.560
AgentBrain,0.424,702.892,3.637,10302,0.560
AgentBrain,0.417,707.440,3.808,10247,0.560
AgentBrain,0.432,711.890,3.710,10280,0.560
AgentBrain,0.424,716.375,3.747,10245,0.559
AgentBrain,0.420,720.894,3.785,10270,0.559
AgentBrain,0.428,725.384,3.751,10284,0.559
AgentBrain,0.433,729.966,3.836,10291,0.559
AgentBrain,0.422,734.415,3.708,10252,0.559
AgentBrain,0.436,738.933,3.763,10283,0.559
AgentBrain,0.435,743.516,3.845,10267,0.558
AgentBrain,0.420,748.060,3.809,10345,0.558
AgentBrain,0.436,752.666,3.844,10243,0.558
AgentBrain,0.419,757.167,3.764,10251,0.558
AgentBrain,0.414,761.676,3.755,10328,0.558
AgentBrain,0.414,766.133,3.728,10260,0.558
AgentBrain,0.419,770.617,3.738,10254,0.558
AgentBrain,0.433,775.149,3.768,10404,0.557
AgentBrain,0.414,779.745,3.838,10267,0.557
AgentBrain,0.422,784.254,3.750,10245,0.557
AgentBrain,0.415,788.808,3.805,10276,0.558
AgentBrain,0.417,793.329,3.768,10266,0.557
AgentBrain,0.416,797.920,3.828,10257,0.558
AgentBrain,0.431,802.589,3.912,10280,0.557
AgentBrain,0.431,807.276,3.953,10257,0.557
AgentBrain,0.428,811.885,3.851,10406,0.557
AgentBrain,0.424,816.621,3.991,10257,0.557
AgentBrain,0.416,821.223,3.860,10244,0.557
AgentBrain,0.417,825.888,3.893,10303,0.557
AgentBrain,0.425,830.508,3.881,10262,0.557
AgentBrain,0.433,835.254,4.001,10243,0.558
AgentBrain,0.423,839.945,3.952,10264,0.558
AgentBrain,0.427,844.628,3.923,10305,0.558
AgentBrain,0.420,849.380,4.001,10257,0.558
AgentBrain,0.427,854.211,4.042,10296,0.559
AgentBrain,0.412,858.815,3.855,10253,0.559
