Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
AgentBrain,0.627,6.022,4.561,10290,-0.774
AgentBrain,0.426,10.676,3.920,10326,-0.882
AgentBrain,0.446,15.339,3.930,10306,-0.934
AgentBrain,0.417,20.530,4.466,10246,-0.981
AgentBrain,0.414,25.125,3.829,10318,-0.994
AgentBrain,0.415,29.673,3.819,10278,-0.977
AgentBrain,0.424,34.108,3.674,10242,-0.984
AgentBrain,0.415,38.577,3.719,10294,-0.997
AgentBrain,0.438,43.568,4.233,10262,-0.968
AgentBrain,0.426,48.136,3.810,10289,-0.944
AgentBrain,0.421,52.749,3.890,10265,-0.900
AgentBrain,0.433,57.495,3.983,10296,-0.850
AgentBrain,0.436,62.236,4.005,10241,-0.817
AgentBrain,0.489,67.155,4.132,10364,-0.786
AgentBrain,0.434,71.954,4.081,10244,-0.761
AgentBrain,0.442,76.686,3.975,10282,-0.736
AgentBrain,0.449,81.426,3.980,10291,-0.713
AgentBrain,0.451,86.230,4.035,10379,-0.680
AgentBrain,0.472,91.084,4.033,10364,-0.650
AgentBrain,0.476,95.955,4.056,10282,-0.615
AgentBrain,0.436,100.864,4.132,10405,-0.590
AgentBrain,0.454,105.711,4.051,10258,-0.561
AgentBrain,0.432,110.603,4.124,10280,-0.532
AgentBrain,0.436,115.549,4.172,10261,-0.507
AgentBrain,0.453,120.358,4.019,10250,-0.482
AgentBrain,0.430,125.283,4.147,10279,-0.459
AgentBrain,0.427,130.017,3.965,10257,-0.437
AgentBrain,0.444,134.787,3.980,10283,-0.413
AgentBrain,0.429,139.649,4.110,10244,-0.391
AgentBrain,0.438,144.559,4.140,10256,-0.371
AgentBrain,0.425,149.281,3.961,10314,-0.351
AgentBrain,0.425,154.111,4.058,10320,-0.332
AgentBrain,0.449,158.989,4.087,10257,-0.309
AgentBrain,0.424,163.805,4.055,10254,-0.285
AgentBrain,0.456,168.610,4.022,10248,-0.263
AgentBrain,0.431,173.380,4.017,10280,-0.244
AgentBrain,0.441,178.142,3.984,10244,-0.226
AgentBrain,0.429,182.994,4.109,10263,-0.207
AgentBrain,0.428,187.784,4.015,10254,-0.185
AgentBrain,0.449,192.617,4.061,10253,-0.169
AgentBrain,0.430,197.543,4.165,10295,-0.152
AgentBrain,0.435,202.480,4.170,10250,-0.134
AgentBrain,0.433,207.316,4.051,10263,-0.117
AgentBrain,0.427,212.194,4.147,10262,-0.100
AgentBrain,0.458,217.187,4.202,10295,-0.083
AgentBrain,0.482,222.339,4.154,10256,-0.066
AgentBrain,0.434,227.216,4.136,10273,-0.052
AgentBrain,0.424,231.984,4.035,10245,-0.038
AgentBrain,0.409,236.640,3.908,10241,-0.025
AgentBrain,0.411,241.137,3.739,10247,-0.012
