Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
AgentBrain,0.999,10.498,8.272,10292,-0.883
AgentBrain,0.739,19.035,7.310,10258,-0.813
AgentBrain,0.915,28.172,7.716,10300,-0.649
AgentBrain,0.756,36.864,7.438,10280,-0.489
AgentBrain,0.748,45.453,7.346,10300,-0.328
AgentBrain,0.758,54.289,7.563,10254,-0.213
AgentBrain,0.764,63.082,7.521,10275,-0.125
AgentBrain,0.751,71.704,7.393,10271,-0.077
AgentBrain,0.772,80.593,7.599,10244,0.015
AgentBrain,0.760,89.608,7.759,10283,0.073
AgentBrain,0.756,98.415,7.536,10312,0.146
AgentBrain,0.751,107.385,7.704,10325,0.213
AgentBrain,0.754,116.502,7.837,10248,0.276
AgentBrain,0.753,125.617,7.840,10255,0.322
AgentBrain,0.749,134.592,7.714,10251,0.363
AgentBrain,0.806,144.125,8.176,10261,0.405
AgentBrain,0.745,153.120,7.735,10247,0.440
AgentBrain,0.764,162.220,7.786,10297,0.466
AgentBrain,0.761,171.692,8.170,10263,0.493
AgentBrain,0.762,180.666,7.667,10247,0.514
AgentBrain,0.755,189.871,7.918,10280,0.533
AgentBrain,0.741,199.074,7.912,10266,0.550
AgentBrain,0.757,207.070,6.848,10256,0.558
AgentBrain,0.759,213.909,5.795,10248,0.564
AgentBrain,1.098,221.108,5.815,10308,0.565
AgentBrain,0.807,229.092,6.838,10245,0.568
AgentBrain,1.026,237.383,6.922,10242,0.571
AgentBrain,0.775,245.103,6.648,10271,0.574
AgentBrain,0.767,251.984,5.825,10343,0.577
AgentBrain,0.767,259.021,5.960,10247,0.580
AgentBrain,0.782,267.242,7.087,10244,0.581
AgentBrain,0.751,274.077,5.810,10294,0.582
AgentBrain,0.750,281.171,6.047,10288,0.584
AgentBrain,0.769,288.004,5.768,10276,0.585
AgentBrain,0.757,294.868,5.802,10306,0.587
AgentBrain,0.847,301.871,5.870,10283,0.589
AgentBrain,0.751,309.086,6.180,10281,0.591
AgentBrain,0.750,315.879,5.743,10245,0.592
AgentBrain,0.765,322.803,5.852,10311,0.592
AgentBrain,0.800,329.945,6.039,10283,0.594
AgentBrain,0.747,336.974,5.996,10280,0.595
AgentBrain,0.750,343.885,5.864,10241,0.596
AgentBrain,0.870,350.841,5.785,10241,0.596
AgentBrain,0.776,357.928,5.998,10293,0.597
AgentBrain,0.763,364.906,5.934,10364,0.598
AgentBrain,0.759,371.685,5.725,10258,0.599
AgentBrain,0.750,378.701,5.955,10315,0.601
AgentBrain,0.752,385.744,5.961,10288,0.602
AgentBrain,0.755,392.539,5.764,10270,0.602
AgentBrain,0.761,399.462,5.871,10271,0.603
AgentBrain,0.752,406.558,6.033,10285,0.604
AgentBrain,0.759,413.566,5.927,10283,0.603
AgentBrain,0.759,420.460,5.852,10264,0.604
AgentBrain,0.753,427.254,5.760,10307,0.604
AgentBrain,0.758,434.266,5.947,10270,0.605
AgentBrain,0.870,441.192,5.747,10265,0.606
AgentBrain,0.779,448.251,5.973,10259,0.607
AgentBrain,0.752,455.213,5.930,10285,0.607
AgentBrain,0.753,462.183,5.921,10257,0.608
AgentBrain,0.904,469.418,6.019,10265,0.608
AgentBrain,0.861,476.945,6.315,10248,0.609
AgentBrain,0.797,484.635,6.600,10301,0.609
