Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
AgentBrain,1.097,11.315,8.936,10267,-0.784
AgentBrain,0.748,19.891,7.348,10290,-0.778
AgentBrain,0.744,28.396,7.291,10305,-0.727
AgentBrain,0.755,37.076,7.433,10318,-0.618
AgentBrain,0.769,45.671,7.333,10269,-0.507
AgentBrain,0.741,54.194,7.284,10279,-0.329
AgentBrain,0.760,63.066,7.599,10281,-0.209
AgentBrain,0.749,72.001,7.671,10246,-0.092
AgentBrain,0.757,80.729,7.461,10249,0.001
AgentBrain,0.752,89.548,7.566,10266,0.076
AgentBrain,0.753,98.568,7.737,10348,0.154
AgentBrain,0.750,107.876,8.030,10311,0.212
AgentBrain,0.749,117.082,7.917,10243,0.277
AgentBrain,0.762,126.082,7.720,10265,0.320
AgentBrain,0.751,135.494,8.119,10244,0.365
AgentBrain,0.790,144.725,7.906,10249,0.391
AgentBrain,0.755,153.932,7.918,10244,0.421
AgentBrain,0.776,163.254,7.989,10286,0.446
AgentBrain,0.762,172.479,7.925,10245,0.467
AgentBrain,0.845,181.903,8.005,10269,0.481
AgentBrain,0.887,192.546,9.143,10245,0.499
AgentBrain,0.759,202.471,8.554,10242,0.515
AgentBrain,0.848,211.637,7.918,10278,0.518
AgentBrain,0.748,218.487,5.821,10262,0.518
AgentBrain,0.764,225.620,6.056,10286,0.519
AgentBrain,0.779,232.507,5.792,10248,0.519
AgentBrain,0.764,240.474,6.866,10258,0.521
AgentBrain,0.777,247.483,5.952,10271,0.521
AgentBrain,0.778,254.697,6.131,10264,0.524
AgentBrain,0.777,261.640,5.856,10271,0.526
AgentBrain,1.129,269.824,6.718,10260,0.528
AgentBrain,1.265,278.918,7.491,10277,0.528
AgentBrain,0.807,286.794,6.736,10265,0.530
AgentBrain,0.771,293.894,6.016,10251,0.530
AgentBrain,0.786,301.142,6.140,10286,0.535
AgentBrain,1.108,308.583,6.052,10270,0.535
AgentBrain,0.769,316.080,6.408,10265,0.536
AgentBrain,0.773,323.198,6.037,10257,0.536
AgentBrain,0.781,330.229,5.943,10286,0.536
AgentBrain,0.765,338.693,7.371,10244,0.537
AgentBrain,0.761,345.735,5.992,10265,0.537
AgentBrain,0.865,353.322,6.409,10245,0.538
AgentBrain,0.757,360.443,6.047,10253,0.539
AgentBrain,0.793,367.852,6.304,10270,0.540
