Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
AgentBrain,0.758,370.927,5.846,10277,0.602
AgentBrain,0.766,377.544,5.560,10283,0.603
AgentBrain,0.782,384.300,5.665,10250,0.605
AgentBrain,0.813,391.429,6.013,10309,0.606
AgentBrain,0.788,399.010,6.495,10325,0.607
AgentBrain,0.890,405.944,5.746,10284,0.608
AgentBrain,0.783,413.909,6.826,10241,0.609
AgentBrain,0.786,421.028,6.037,10270,0.609
AgentBrain,0.776,427.993,5.911,10264,0.611
AgentBrain,0.947,435.126,5.888,10284,0.612
AgentBrain,0.811,442.745,6.461,10272,0.614
AgentBrain,0.986,449.908,5.865,10298,0.614
AgentBrain,0.797,457.073,6.087,10259,0.615
AgentBrain,0.799,464.067,5.905,10319,0.615
AgentBrain,0.807,471.271,6.090,10285,0.616
AgentBrain,0.978,478.988,6.402,10259,0.617
AgentBrain,0.751,485.719,5.698,10256,0.618
AgentBrain,0.775,492.520,5.740,10248,0.619
AgentBrain,0.756,499.436,5.860,10248,0.619
AgentBrain,0.769,506.210,5.692,10377,0.620
AgentBrain,0.851,513.978,6.549,11225,0.621
AgentBrain,0.815,520.132,5.095,10260,0.620
AgentBrain,0.795,526.562,5.380,10296,0.619
AgentBrain,0.796,532.489,4.897,10315,0.618
AgentBrain,0.877,538.843,5.227,10279,0.617
AgentBrain,0.783,545.975,6.063,10263,0.616
AgentBrain,0.798,551.943,4.937,10283,0.615
AgentBrain,0.787,558.738,5.743,10287,0.615
AgentBrain,0.790,565.094,5.310,10327,0.614
AgentBrain,0.861,571.862,5.647,10286,0.614
AgentBrain,0.827,578.208,5.272,10245,0.613
AgentBrain,0.795,584.933,5.668,10248,0.612
AgentBrain,1.098,591.589,5.298,10257,0.612
AgentBrain,0.781,598.125,5.498,10272,0.612
AgentBrain,0.896,604.526,5.259,10258,0.611
AgentBrain,0.747,610.889,5.351,10299,0.611
AgentBrain,0.743,617.481,5.559,10254,0.611
AgentBrain,0.762,623.790,5.281,10246,0.610
AgentBrain,0.761,630.048,5.237,10248,0.610
AgentBrain,0.759,636.382,5.322,10251,0.609
AgentBrain,0.751,642.979,5.572,10323,0.609
AgentBrain,0.750,649.369,5.369,10313,0.608
AgentBrain,0.743,655.597,5.223,10337,0.608
AgentBrain,0.770,661.974,5.345,10294,0.608
AgentBrain,0.765,668.362,5.365,10320,0.608
AgentBrain,0.759,674.672,5.286,10243,0.608
AgentBrain,0.764,680.871,5.163,10249,0.608
AgentBrain,0.771,687.352,5.434,10252,0.608
AgentBrain,0.855,693.813,5.345,10244,0.608
AgentBrain,0.750,699.982,5.159,10245,0.608
AgentBrain,0.754,706.459,5.455,10311,0.607
AgentBrain,0.756,712.918,5.421,10247,0.607
AgentBrain,0.779,719.423,5.452,10253,0.607
AgentBrain,0.773,725.811,5.344,10254,0.607
AgentBrain,0.806,732.266,5.376,10292,0.606
AgentBrain,0.932,739.614,6.122,10243,0.606
AgentBrain,0.774,746.614,5.929,10300,0.606
AgentBrain,0.746,753.122,5.498,10312,0.606
AgentBrain,0.991,759.759,5.379,10266,0.605
AgentBrain,1.225,767.882,6.569,10246,0.605
AgentBrain,1.180,775.071,5.721,10279,0.605
AgentBrain,1.147,782.829,6.297,10344,0.604
AgentBrain,0.802,790.995,7.035,10336,0.604
AgentBrain,1.125,798.533,6.123,10279,0.604
AgentBrain,0.781,805.300,5.704,10270,0.604
AgentBrain,0.775,811.749,5.398,10296,0.604
AgentBrain,0.760,818.202,5.430,10260,0.604
AgentBrain,0.782,824.423,5.180,10327,0.604
AgentBrain,0.744,830.701,5.266,10282,0.604
AgentBrain,0.763,836.950,5.215,10274,0.604
AgentBrain,0.779,843.596,5.598,10295,0.604
AgentBrain,0.745,849.752,5.154,10294,0.604
AgentBrain,0.760,856.098,5.320,10279,0.603
AgentBrain,0.818,862.823,5.614,10243,0.603
AgentBrain,0.771,869.167,5.295,10253,0.603
AgentBrain,0.750,875.370,5.197,10282,0.603
AgentBrain,0.749,881.857,5.462,10293,0.602
AgentBrain,0.750,888.289,5.402,10290,0.602
AgentBrain,0.749,894.542,5.229,10252,0.602
AgentBrain,0.752,901.496,5.914,10282,0.602
AgentBrain,0.758,907.743,5.226,10276,0.602
AgentBrain,0.987,915.187,6.149,10244,0.602
AgentBrain,0.829,922.470,6.144,10363,0.602
AgentBrain,0.770,929.202,5.677,10244,0.602
AgentBrain,0.783,935.434,5.186,10430,0.602
AgentBrain,0.753,941.947,5.484,10304,0.602
AgentBrain,0.776,948.276,5.287,10322,0.602
AgentBrain,0.774,954.699,5.365,10243,0.602
AgentBrain,0.805,961.141,5.373,10299,0.602
AgentBrain,0.756,967.527,5.367,10273,0.602
AgentBrain,0.751,973.948,5.396,10269,0.602
AgentBrain,0.750,980.434,5.455,10263,0.602
AgentBrain,0.782,986.895,5.395,10277,0.602
AgentBrain,0.752,993.191,5.282,10295,0.602
AgentBrain,0.763,999.566,5.344,10280,0.602
AgentBrain,0.747,1005.916,5.337,10243,0.602
AgentBrain,0.773,1012.560,5.573,10269,0.602
AgentBrain,0.748,1018.975,5.397,10246,0.602
AgentBrain,0.770,1025.335,5.330,10291,0.602
AgentBrain,0.762,1031.572,5.207,10270,0.602
AgentBrain,1.126,1038.617,5.635,10250,0.603
AgentBrain,0.760,1045.176,5.510,10330,0.602
AgentBrain,0.752,1051.529,5.340,10262,0.603
AgentBrain,0.740,1057.764,5.226,10258,0.602
AgentBrain,0.753,1063.944,5.160,10261,0.602
AgentBrain,0.751,1070.440,5.457,10267,0.603
AgentBrain,0.751,1076.601,5.153,10254,0.603
AgentBrain,0.759,1083.075,5.429,10289,0.603
AgentBrain,0.747,1089.240,5.147,10370,0.603
AgentBrain,0.741,1095.652,5.384,10246,0.603
AgentBrain,0.856,1102.253,5.460,10342,0.603
