Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
AgentBrain,0.979,10.760,8.540,10283,-0.718
AgentBrain,0.878,19.785,7.626,10273,-0.684
AgentBrain,0.857,28.770,7.621,10314,-0.588
AgentBrain,0.985,37.192,6.949,10255,-0.467
AgentBrain,0.783,46.452,7.942,10267,-0.325
AgentBrain,0.894,55.138,7.281,10290,-0.193
AgentBrain,0.821,64.206,7.703,10259,-0.085
AgentBrain,0.805,72.701,7.198,10258,-0.018
AgentBrain,0.854,81.618,7.541,10284,0.062
AgentBrain,0.785,90.910,7.957,10250,0.142
AgentBrain,1.086,100.131,7.599,10311,0.206
AgentBrain,1.011,110.079,8.348,10260,0.241
AgentBrain,0.823,119.865,8.400,10260,0.283
AgentBrain,0.766,128.493,7.347,10289,0.324
AgentBrain,0.739,136.998,7.255,10268,0.362
AgentBrain,0.732,145.507,7.251,10268,0.405
AgentBrain,0.751,154.030,7.268,10274,0.442
AgentBrain,0.742,162.642,7.338,10241,0.468
AgentBrain,0.746,171.654,7.745,10248,0.492
AgentBrain,0.760,180.346,7.399,10276,0.516
AgentBrain,0.749,189.114,7.490,10243,0.535
AgentBrain,0.757,197.857,7.445,10301,0.553
AgentBrain,0.819,207.345,8.197,10243,0.563
AgentBrain,0.760,213.909,5.529,10290,0.565
AgentBrain,1.049,221.155,5.891,10245,0.565
AgentBrain,0.835,228.351,6.043,10248,0.565
AgentBrain,1.048,235.507,5.805,10320,0.567
AgentBrain,0.790,243.166,6.561,10265,0.570
AgentBrain,0.901,250.363,6.003,10269,0.571
AgentBrain,0.822,257.165,5.689,10253,0.572
AgentBrain,0.788,264.420,6.145,10274,0.575
AgentBrain,0.913,271.872,6.250,10269,0.579
AgentBrain,0.860,279.245,6.200,10296,0.582
AgentBrain,0.860,286.752,6.327,10299,0.585
AgentBrain,0.842,294.010,6.089,10377,0.585
AgentBrain,0.893,301.473,6.267,10307,0.586
AgentBrain,0.787,308.367,5.824,10279,0.587
AgentBrain,0.809,315.203,5.743,10278,0.588
AgentBrain,1.094,323.361,6.735,10262,0.589
AgentBrain,0.802,330.546,6.076,10251,0.593
AgentBrain,0.757,337.151,5.576,10269,0.593
AgentBrain,0.753,343.812,5.625,10324,0.594
AgentBrain,0.751,350.571,5.709,10370,0.595
AgentBrain,0.742,357.086,5.471,10248,0.597
AgentBrain,0.858,364.033,5.804,10269,0.599
