Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
AgentBrain,0.993,10.592,8.390,10260,-0.805
AgentBrain,0.737,18.787,6.972,10299,-0.722
AgentBrain,0.745,27.057,7.046,10275,-0.616
AgentBrain,0.736,35.149,6.868,10297,-0.482
AgentBrain,0.737,43.572,7.202,10264,-0.366
AgentBrain,0.951,52.647,7.601,10271,-0.240
AgentBrain,0.746,61.644,7.729,10284,-0.128
AgentBrain,0.742,69.787,6.920,10244,-0.074
AgentBrain,0.740,77.779,6.771,10276,-0.031
AgentBrain,0.741,86.199,7.180,10267,0.054
AgentBrain,0.728,94.269,6.858,10287,0.093
AgentBrain,0.733,102.545,7.048,10254,0.138
AgentBrain,0.995,111.123,7.089,10256,0.174
AgentBrain,0.758,119.427,7.052,10299,0.240
AgentBrain,0.736,127.901,7.229,10242,0.295
AgentBrain,0.854,136.452,7.186,10264,0.335
AgentBrain,0.965,149.010,10.785,10299,0.369
AgentBrain,1.111,162.348,11.342,10264,0.412
AgentBrain,0.778,171.489,7.822,10270,0.451
AgentBrain,0.769,180.484,7.679,10242,0.483
AgentBrain,0.791,189.515,7.712,10306,0.505
AgentBrain,0.795,198.410,7.553,10295,0.521
AgentBrain,0.787,206.866,7.238,10243,0.537
AgentBrain,0.773,213.570,5.661,10288,0.540
AgentBrain,0.848,220.324,5.623,10276,0.542
AgentBrain,1.152,228.073,6.276,10254,0.542
AgentBrain,0.803,236.624,7.386,10262,0.541
AgentBrain,0.902,243.963,6.140,10242,0.543
AgentBrain,0.780,250.633,5.610,10275,0.547
AgentBrain,0.757,257.388,5.698,10259,0.552
AgentBrain,0.753,264.234,5.781,10381,0.554
AgentBrain,0.756,271.011,5.745,10264,0.556
AgentBrain,0.825,277.954,5.833,10351,0.556
AgentBrain,0.746,285.391,6.382,10251,0.560
AgentBrain,0.830,292.415,5.872,10248,0.563
AgentBrain,0.796,300.038,6.502,10304,0.565
AgentBrain,0.764,306.902,5.812,10250,0.567
AgentBrain,0.750,313.466,5.521,10255,0.569
AgentBrain,0.760,320.159,5.624,10245,0.571
AgentBrain,0.805,327.231,5.953,10291,0.571
AgentBrain,0.754,334.043,5.767,10287,0.574
AgentBrain,0.753,340.947,5.846,10246,0.577
AgentBrain,0.758,347.588,5.578,10323,0.580
AgentBrain,0.766,354.424,5.748,10272,0.581
AgentBrain,0.755,361.226,5.771,10269,0.582
AgentBrain,0.749,367.630,5.375,10242,0.584
AgentBrain,0.786,374.355,5.641,10278,0.586
AgentBrain,0.773,381.011,5.573,10247,0.588
AgentBrain,0.762,387.920,5.855,10270,0.589
AgentBrain,0.767,394.549,5.575,10303,0.590
AgentBrain,0.756,401.215,5.612,10289,0.591
AgentBrain,0.793,408.044,5.709,10362,0.593
AgentBrain,0.779,415.390,6.239,10283,0.595
AgentBrain,0.750,422.086,5.656,10252,0.596
AgentBrain,0.799,428.816,5.633,10328,0.598
AgentBrain,0.828,435.840,5.880,10247,0.599
AgentBrain,0.924,443.014,5.939,10270,0.601
AgentBrain,0.765,449.984,5.921,10256,0.602
AgentBrain,0.782,456.761,5.706,10401,0.603
AgentBrain,0.742,463.509,5.694,10241,0.603
AgentBrain,0.843,470.598,5.919,10321,0.604
AgentBrain,0.761,477.547,5.902,10347,0.605
AgentBrain,0.760,484.379,5.781,10285,0.606
AgentBrain,1.207,491.853,5.952,10250,0.606
