Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
AgentBrain,0.595,6.358,4.980,10301,-0.367
AgentBrain,0.431,11.293,4.209,10263,-0.432
AgentBrain,0.431,15.876,3.852,10256,-0.458
AgentBrain,0.430,20.521,3.938,10276,-0.456
AgentBrain,0.419,25.149,3.895,10259,-0.460
AgentBrain,0.432,29.807,3.919,10281,-0.472
AgentBrain,0.434,34.428,3.864,10300,-0.477
AgentBrain,0.433,39.003,3.845,10269,-0.478
AgentBrain,0.429,43.716,3.993,10268,-0.481
AgentBrain,0.446,48.275,3.800,10277,-0.483
AgentBrain,0.424,52.910,3.901,10279,-0.464
AgentBrain,0.421,57.524,3.881,10244,-0.444
AgentBrain,0.413,62.018,3.783,10260,-0.431
AgentBrain,0.420,66.711,3.937,10278,-0.423
AgentBrain,0.414,71.263,3.829,10247,-0.400
AgentBrain,0.413,75.855,3.860,10345,-0.388
AgentBrain,0.407,80.402,3.810,10244,-0.372
AgentBrain,0.409,84.970,3.822,10294,-0.331
AgentBrain,0.413,89.516,3.776,10261,-0.293
AgentBrain,0.411,94.084,3.808,10273,-0.258
AgentBrain,0.415,98.759,3.910,10269,-0.210
AgentBrain,0.411,103.289,3.811,10263,-0.177
AgentBrain,0.416,107.982,3.948,10282,-0.153
AgentBrain,0.411,112.609,3.883,10310,-0.120
AgentBrain,0.412,117.217,3.867,10265,-0.099
AgentBrain,0.415,121.812,3.825,10262,-0.082
AgentBrain,0.413,126.464,3.901,10258,-0.062
AgentBrain,0.414,131.073,3.867,10267,-0.049
AgentBrain,0.416,135.638,3.828,10256,-0.031
AgentBrain,0.409,140.299,3.899,10308,-0.016
AgentBrain,0.425,144.966,3.941,10330,-0.001
AgentBrain,0.412,149.693,3.979,10250,0.017
AgentBrain,0.422,154.377,3.979,10303,0.031
AgentBrain,0.467,159.083,3.909,10253,0.043
AgentBrain,0.432,163.791,3.920,10263,0.059
AgentBrain,0.418,168.613,4.066,10311,0.072
AgentBrain,0.418,173.462,4.108,10286,0.088
AgentBrain,0.411,178.065,3.852,10245,0.103
AgentBrain,0.426,182.680,3.826,10264,0.116
AgentBrain,0.413,187.446,4.038,10269,0.134
AgentBrain,0.452,192.172,3.983,10349,0.145
AgentBrain,0.415,196.984,4.089,10284,0.159
AgentBrain,0.416,201.641,3.898,10254,0.171
AgentBrain,0.419,206.388,3.981,10318,0.182
