Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
AgentBrain,0.975,11.107,8.906,10302,-0.870
AgentBrain,0.620,20.175,7.923,10285,-0.881
AgentBrain,0.588,28.518,7.244,10287,-0.809
AgentBrain,0.641,37.445,7.758,10243,-0.654
AgentBrain,0.968,46.668,7.717,10263,-0.566
AgentBrain,0.672,55.438,7.562,10263,-0.467
AgentBrain,0.610,65.052,8.417,10289,-0.339
AgentBrain,0.625,74.247,8.032,10285,-0.250
AgentBrain,0.584,84.193,8.752,10263,-0.152
AgentBrain,0.621,92.482,7.185,10243,-0.091
AgentBrain,0.608,101.788,8.132,10258,-0.032
AgentBrain,0.601,109.956,7.081,10251,0.040
AgentBrain,0.619,118.740,7.638,10284,0.092
AgentBrain,0.679,128.026,8.023,10262,0.161
AgentBrain,0.712,137.977,8.630,10246,0.214
AgentBrain,0.592,147.839,8.672,10276,0.254
AgentBrain,0.692,157.466,8.352,10260,0.308
AgentBrain,0.732,168.141,9.299,10243,0.352
AgentBrain,0.621,178.198,8.848,10265,0.388
AgentBrain,0.805,189.041,9.380,10248,0.417
AgentBrain,0.579,199.596,9.316,10254,0.441
AgentBrain,0.592,209.245,8.445,10245,0.462
AgentBrain,0.821,218.386,7.842,10276,0.475
AgentBrain,0.584,224.831,5.586,10315,0.478
AgentBrain,0.595,231.408,5.695,10242,0.479
AgentBrain,0.605,237.756,5.454,10316,0.477
AgentBrain,0.596,244.276,5.638,10283,0.475
AgentBrain,0.572,250.668,5.550,10251,0.476
AgentBrain,0.581,257.165,5.637,10386,0.476
AgentBrain,0.598,263.696,5.633,10273,0.479
AgentBrain,0.606,270.337,5.727,10265,0.482
AgentBrain,0.701,277.663,6.331,10241,0.483
AgentBrain,0.651,284.746,6.138,10271,0.484
AgentBrain,0.610,291.459,5.804,10248,0.488
AgentBrain,0.612,298.485,6.099,10260,0.489
AgentBrain,0.682,305.289,5.825,10268,0.490
AgentBrain,0.677,312.591,6.331,10410,0.491
AgentBrain,0.788,321.428,7.676,10256,0.493
AgentBrain,0.820,328.754,6.193,10241,0.493
AgentBrain,0.807,337.406,7.459,10260,0.494
AgentBrain,0.648,345.560,7.194,10280,0.496
AgentBrain,0.586,352.297,5.869,10243,0.496
AgentBrain,0.593,358.863,5.675,10299,0.497
AgentBrain,0.700,365.545,5.676,10283,0.497
AgentBrain,0.609,372.576,6.123,10303,0.497
AgentBrain,0.617,379.088,5.617,10282,0.497
AgentBrain,0.667,385.918,5.870,10254,0.497
AgentBrain,0.619,393.015,6.156,10291,0.499
AgentBrain,0.685,400.270,6.263,10289,0.501
AgentBrain,0.715,407.239,5.967,10249,0.503
AgentBrain,0.702,414.564,6.310,10307,0.502
AgentBrain,0.703,422.583,6.952,10385,0.503
AgentBrain,0.669,430.678,7.068,10261,0.504
AgentBrain,0.789,439.045,7.235,10280,0.504
AgentBrain,0.911,448.219,7.877,10288,0.505
AgentBrain,0.692,456.632,7.354,10247,0.506
AgentBrain,0.884,465.107,7.209,10270,0.506
AgentBrain,1.041,474.528,8.002,10280,0.507
AgentBrain,0.850,483.102,7.371,10326,0.508
AgentBrain,0.836,491.834,7.516,10269,0.509
AgentBrain,1.009,500.744,7.500,10263,0.509
AgentBrain,0.901,509.152,7.168,10263,0.509
AgentBrain,0.954,518.561,8.070,10282,0.510
AgentBrain,0.736,526.531,6.892,10249,0.511
AgentBrain,0.863,535.775,7.975,10241,0.512
AgentBrain,0.874,545.270,8.178,10342,0.512
AgentBrain,1.209,554.205,7.376,10292,0.511
AgentBrain,1.034,561.544,6.018,10336,0.510
AgentBrain,1.048,570.640,7.682,10245,0.508
AgentBrain,0.919,578.698,6.815,10297,0.507
AgentBrain,0.964,587.524,7.529,10282,0.506
AgentBrain,1.113,596.087,7.114,10264,0.505
AgentBrain,0.741,603.299,6.181,10266,0.504
AgentBrain,0.684,610.628,6.363,10292,0.503
AgentBrain,0.626,617.053,5.533,10292,0.502
AgentBrain,0.607,623.303,5.396,10253,0.501
AgentBrain,0.626,629.458,5.272,10267,0.500
AgentBrain,0.621,635.340,5.017,10285,0.499
AgentBrain,0.964,642.011,5.444,10358,0.499
AgentBrain,0.643,648.825,5.891,10359,0.498
AgentBrain,0.620,654.676,4.986,10251,0.497
AgentBrain,0.639,661.521,5.914,10279,0.496
AgentBrain,0.611,667.977,5.583,10259,0.496
AgentBrain,0.618,673.850,5.005,10258,0.495
AgentBrain,0.660,681.209,6.403,10488,0.495
AgentBrain,0.618,688.131,6.019,10293,0.494
AgentBrain,0.761,694.148,5.008,10265,0.493
AgentBrain,0.721,701.843,6.658,10276,0.492
AgentBrain,0.780,708.511,5.626,10283,0.492
AgentBrain,0.609,714.743,5.366,10410,0.492
AgentBrain,0.640,721.091,5.445,10249,0.492
AgentBrain,0.594,727.114,5.177,10292,0.492
AgentBrain,0.629,733.390,5.388,10430,0.492
AgentBrain,0.678,739.833,5.509,10248,0.492
AgentBrain,1.029,748.844,7.631,10267,0.491
