Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
AgentBrain,0.981,10.884,8.662,10253,-0.741
AgentBrain,0.742,19.487,7.371,10288,-0.830
AgentBrain,0.734,28.267,7.553,10289,-0.876
AgentBrain,0.752,37.074,7.566,10243,-0.855
AgentBrain,0.775,45.796,7.464,10247,-0.776
AgentBrain,0.754,54.483,7.434,10252,-0.657
AgentBrain,0.769,63.277,7.527,10310,-0.593
AgentBrain,0.747,71.924,7.411,10327,-0.493
AgentBrain,0.748,80.729,7.550,10256,-0.367
AgentBrain,0.747,89.622,7.650,10246,-0.255
AgentBrain,0.741,98.403,7.538,10268,-0.180
AgentBrain,0.748,107.118,7.472,10282,-0.100
AgentBrain,0.756,116.090,7.699,10282,-0.031
AgentBrain,0.752,125.123,7.769,10266,0.017
AgentBrain,0.753,134.257,7.866,10278,0.057
AgentBrain,0.754,143.094,7.568,10247,0.109
AgentBrain,0.743,152.068,7.718,10286,0.157
AgentBrain,0.758,161.236,7.876,10339,0.200
AgentBrain,0.749,170.428,7.926,10258,0.242
AgentBrain,0.800,179.571,7.826,10255,0.271
AgentBrain,0.768,188.819,7.951,10296,0.304
AgentBrain,0.744,198.025,7.926,10292,0.335
AgentBrain,0.785,206.770,7.515,10312,0.349
AgentBrain,0.791,213.672,5.838,10258,0.354
AgentBrain,0.929,221.080,6.196,10256,0.361
AgentBrain,1.229,231.083,8.390,10247,0.371
AgentBrain,0.769,238.082,5.924,10253,0.375
AgentBrain,0.754,244.911,5.812,10264,0.383
AgentBrain,0.747,251.868,5.917,10293,0.389
AgentBrain,0.850,258.995,5.984,10314,0.395
AgentBrain,0.753,265.978,5.918,10291,0.402
AgentBrain,0.842,273.273,6.164,10277,0.409
AgentBrain,0.763,280.039,5.728,10264,0.415
AgentBrain,0.759,286.973,5.882,10387,0.417
AgentBrain,0.748,294.042,6.014,10290,0.424
AgentBrain,0.841,301.071,5.896,10293,0.428
AgentBrain,0.758,308.171,6.052,10243,0.430
AgentBrain,0.768,314.971,5.750,10318,0.432
AgentBrain,0.761,321.931,5.895,10291,0.438
AgentBrain,0.774,328.951,5.943,10273,0.440
AgentBrain,0.766,335.995,5.999,10254,0.444
AgentBrain,0.822,343.219,6.109,10261,0.447
AgentBrain,0.757,349.980,5.710,10309,0.449
AgentBrain,0.747,356.802,5.775,10264,0.451
AgentBrain,0.763,363.860,6.004,10241,0.454
AgentBrain,0.739,370.846,5.962,10259,0.457
AgentBrain,0.755,378.297,6.380,10272,0.460
AgentBrain,0.750,385.005,5.665,10252,0.462
AgentBrain,0.760,391.886,5.838,10381,0.463
AgentBrain,0.752,398.942,6.012,10254,0.466
AgentBrain,0.748,405.806,5.820,10247,0.467
AgentBrain,0.747,412.839,5.975,10280,0.470
AgentBrain,0.782,419.919,5.987,10292,0.471
AgentBrain,0.756,426.822,5.874,10293,0.472
AgentBrain,0.852,433.957,5.994,10291,0.472
AgentBrain,0.765,440.925,5.898,10290,0.474
AgentBrain,0.758,448.082,6.073,10287,0.476
AgentBrain,0.759,454.982,5.864,10321,0.477
AgentBrain,0.818,462.217,6.118,10281,0.479
AgentBrain,0.762,469.187,5.911,10270,0.480
AgentBrain,0.750,476.317,6.051,10316,0.480
AgentBrain,0.753,483.121,5.772,10264,0.481
AgentBrain,0.756,490.162,5.993,10255,0.482
AgentBrain,0.751,497.111,5.898,10246,0.483
AgentBrain,0.763,504.141,5.953,10268,0.485
AgentBrain,0.852,511.794,6.457,11131,0.485
AgentBrain,0.793,518.450,5.603,10283,0.482
AgentBrain,0.791,524.972,5.476,10356,0.479
AgentBrain,0.800,531.388,5.358,10392,0.476
AgentBrain,0.811,537.977,5.522,10298,0.474
AgentBrain,0.789,544.431,5.417,10290,0.471
AgentBrain,0.782,550.947,5.476,10284,0.468
AgentBrain,0.783,557.428,5.442,10258,0.465
AgentBrain,0.966,564.968,6.292,10283,0.463
AgentBrain,1.213,572.234,5.784,10250,0.460
AgentBrain,0.865,579.379,6.001,10365,0.457
AgentBrain,0.809,586.160,5.714,10299,0.455
AgentBrain,0.760,592.716,5.533,10297,0.452
AgentBrain,0.764,598.851,5.125,10288,0.450
AgentBrain,0.838,605.740,5.784,10364,0.447
AgentBrain,0.745,612.219,5.483,10363,0.444
AgentBrain,0.746,618.778,5.542,10307,0.441
AgentBrain,0.746,625.118,5.339,10241,0.438
AgentBrain,0.774,631.620,5.467,10284,0.436
AgentBrain,0.761,637.962,5.334,10278,0.434
AgentBrain,0.758,644.366,5.385,10260,0.431
AgentBrain,0.754,651.030,5.642,10243,0.429
AgentBrain,0.745,657.429,5.392,10267,0.426
AgentBrain,0.751,663.706,5.281,10304,0.424
AgentBrain,0.747,670.244,5.531,10330,0.422
AgentBrain,0.754,676.782,5.521,10284,0.419
AgentBrain,0.758,684.054,6.221,10257,0.417
AgentBrain,0.799,690.857,5.731,10250,0.415
AgentBrain,0.757,697.688,5.812,10325,0.412
AgentBrain,0.748,704.233,5.536,10275,0.409
AgentBrain,0.756,710.734,5.478,10260,0.407
AgentBrain,0.745,717.005,5.268,10249,0.405
AgentBrain,0.777,723.620,5.570,10332,0.403
AgentBrain,0.748,730.035,5.410,10267,0.401
AgentBrain,0.743,736.477,5.434,10273,0.399
AgentBrain,0.759,742.853,5.360,10255,0.397
AgentBrain,0.768,749.570,5.680,10372,0.394
AgentBrain,0.750,756.039,5.464,10277,0.393
AgentBrain,0.763,762.498,5.438,10271,0.391
AgentBrain,0.749,769.032,5.521,10261,0.389
AgentBrain,0.749,775.608,5.561,10251,0.388
AgentBrain,0.778,782.221,5.569,10269,0.386
AgentBrain,0.758,788.748,5.511,10265,0.385
AgentBrain,0.909,795.431,5.514,10255,0.383
AgentBrain,0.786,802.651,6.148,10275,0.381
AgentBrain,0.743,809.142,5.478,10344,0.379
AgentBrain,0.745,815.745,5.603,10289,0.377
AgentBrain,0.756,822.451,5.680,10322,0.376
AgentBrain,0.746,828.969,5.504,10250,0.374
AgentBrain,0.755,835.478,5.484,10301,0.372
AgentBrain,0.774,842.195,5.669,10262,0.371
AgentBrain,0.762,848.895,5.671,10368,0.369
AgentBrain,0.762,855.649,5.713,10286,0.367
AgentBrain,0.756,862.332,5.651,10308,0.366
AgentBrain,0.747,868.671,5.326,10306,0.364
AgentBrain,0.747,875.513,5.826,10241,0.363
AgentBrain,0.757,881.877,5.353,10256,0.361
AgentBrain,0.806,888.603,5.648,10260,0.360
AgentBrain,1.270,896.006,5.852,10329,0.359
AgentBrain,0.822,903.547,6.424,10246,0.358
AgentBrain,0.768,909.957,5.392,10242,0.356
AgentBrain,0.783,916.845,5.838,10290,0.355
AgentBrain,0.847,923.477,5.512,10254,0.353
