Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
AgentBrain,0.976,11.585,9.283,10289,-0.748
AgentBrain,0.699,20.832,8.002,10262,-0.710
AgentBrain,0.853,31.727,9.391,10245,-0.584
AgentBrain,0.760,41.073,8.032,10257,-0.516
AgentBrain,0.602,49.987,7.755,10283,-0.408
AgentBrain,0.622,58.499,7.384,10251,-0.286
AgentBrain,0.658,67.862,8.141,10253,-0.150
AgentBrain,0.748,77.516,8.326,10241,-0.050
AgentBrain,0.722,87.751,8.895,10303,0.047
AgentBrain,0.611,96.421,7.536,10253,0.129
AgentBrain,0.786,105.249,7.519,10275,0.181
AgentBrain,0.583,114.681,8.287,10330,0.230
AgentBrain,0.634,123.078,7.256,10242,0.273
AgentBrain,0.597,131.474,7.298,10259,0.320
AgentBrain,0.593,139.661,7.090,10270,0.353
AgentBrain,0.605,148.331,7.512,10254,0.392
AgentBrain,0.589,156.865,7.429,10246,0.433
AgentBrain,0.580,165.152,7.186,10244,0.458
AgentBrain,0.622,173.892,7.588,10289,0.483
AgentBrain,0.592,182.513,7.484,10242,0.500
AgentBrain,0.583,190.968,7.358,10244,0.519
AgentBrain,0.592,199.519,7.420,10313,0.533
AgentBrain,0.584,207.477,6.950,10329,0.544
AgentBrain,0.596,214.063,5.704,10283,0.545
AgentBrain,0.597,220.440,5.496,10285,0.549
AgentBrain,0.580,226.743,5.433,10264,0.548
AgentBrain,0.657,233.336,5.642,10255,0.548
AgentBrain,0.619,240.932,6.668,10328,0.547
AgentBrain,0.766,247.645,5.664,10295,0.548
AgentBrain,0.715,255.612,6.902,10262,0.549
AgentBrain,0.697,262.715,6.082,10250,0.552
AgentBrain,0.684,269.680,5.991,10256,0.551
AgentBrain,0.825,277.236,6.428,10249,0.551
AgentBrain,0.675,285.712,7.443,10256,0.550
AgentBrain,0.665,293.194,6.477,10282,0.550
AgentBrain,0.588,300.660,6.557,10245,0.550
AgentBrain,0.584,306.989,5.477,10241,0.549
AgentBrain,0.696,313.346,5.380,10284,0.548
AgentBrain,0.581,321.115,6.846,10249,0.548
AgentBrain,0.621,328.387,6.327,10250,0.547
AgentBrain,0.618,335.292,6.007,10256,0.548
AgentBrain,0.586,341.740,5.582,10243,0.548
AgentBrain,0.600,348.089,5.463,10242,0.548
AgentBrain,0.608,354.672,5.673,10359,0.549
AgentBrain,0.588,361.056,5.536,10244,0.549
AgentBrain,0.619,367.511,5.567,10291,0.549
AgentBrain,0.602,374.014,5.616,10294,0.550
AgentBrain,0.588,380.780,5.873,10252,0.549
AgentBrain,0.726,387.632,5.841,10247,0.549
AgentBrain,0.667,394.399,5.826,10245,0.549
AgentBrain,0.660,402.100,6.722,10259,0.549
AgentBrain,0.942,410.510,7.102,10243,0.551
AgentBrain,0.767,417.619,6.018,10250,0.550
AgentBrain,0.590,424.183,5.698,10301,0.552
AgentBrain,0.776,431.709,6.436,10243,0.554
AgentBrain,0.619,439.274,6.597,10263,0.555
AgentBrain,0.697,446.033,5.750,10249,0.556
