Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
AgentBrain,0.797,11.769,9.668,10272,-1.973
AgentBrain,0.895,20.671,7.493,10289,-2.222
AgentBrain,0.559,29.092,7.350,10255,-2.283
AgentBrain,0.592,36.954,6.795,10254,-2.189
AgentBrain,0.562,44.849,6.850,10262,-2.019
AgentBrain,0.561,53.145,7.245,10255,-1.821
AgentBrain,0.571,60.923,6.740,10313,-1.732
AgentBrain,0.628,70.313,8.200,10293,-1.649
AgentBrain,0.689,79.282,7.754,10241,-1.564
AgentBrain,0.670,88.416,7.938,10244,-1.509
AgentBrain,0.571,96.289,6.824,10304,-1.417
AgentBrain,0.567,104.560,7.199,10242,-1.329
AgentBrain,0.579,112.184,6.587,10304,-1.238
AgentBrain,0.590,120.235,6.973,10327,-1.126
AgentBrain,0.580,128.044,6.746,10256,-1.031
AgentBrain,0.565,135.981,6.890,10390,-0.940
AgentBrain,0.564,143.793,6.780,10289,-0.877
AgentBrain,0.575,151.956,7.103,10274,-0.794
AgentBrain,0.594,160.933,7.845,10280,-0.727
AgentBrain,0.611,169.156,7.126,10300,-0.659
AgentBrain,0.617,177.432,7.166,10246,-0.593
AgentBrain,0.599,186.230,7.676,10320,-0.529
AgentBrain,0.634,195.337,7.909,10251,-0.467
AgentBrain,0.603,202.351,6.115,10272,-0.435
AgentBrain,0.634,208.679,5.439,10383,-0.410
AgentBrain,0.594,214.972,5.434,10258,-0.381
AgentBrain,0.639,221.332,5.459,10251,-0.368
AgentBrain,0.630,227.698,5.476,10339,-0.353
AgentBrain,0.705,234.279,5.601,10286,-0.340
AgentBrain,0.628,240.505,5.345,10380,-0.322
AgentBrain,0.608,246.888,5.512,10338,-0.312
AgentBrain,0.632,253.397,5.604,10307,-0.297
AgentBrain,0.669,260.041,5.699,10279,-0.282
AgentBrain,0.607,266.341,5.427,10278,-0.269
AgentBrain,0.631,272.467,5.242,10247,-0.254
AgentBrain,0.610,278.701,5.359,10268,-0.244
AgentBrain,0.635,285.035,5.440,10294,-0.232
AgentBrain,0.692,291.576,5.585,10370,-0.220
AgentBrain,0.592,298.455,6.010,10241,-0.210
AgentBrain,0.581,305.066,5.754,10300,-0.199
AgentBrain,0.592,311.215,5.290,10291,-0.191
AgentBrain,0.614,317.875,5.777,10294,-0.186
AgentBrain,0.583,323.972,5.253,10255,-0.178
AgentBrain,0.566,330.532,5.723,10341,-0.174
AgentBrain,0.620,336.829,5.420,10291,-0.170
AgentBrain,0.589,342.872,5.186,10373,-0.160
AgentBrain,0.569,348.891,5.187,10261,-0.150
AgentBrain,0.568,354.729,5.021,10338,-0.145
AgentBrain,0.596,360.654,5.072,10248,-0.138
AgentBrain,0.577,366.554,5.064,10246,-0.128
AgentBrain,0.581,372.598,5.207,10299,-0.119
AgentBrain,0.772,379.361,5.726,10272,-0.111
AgentBrain,0.751,386.488,6.081,10429,-0.102
AgentBrain,0.612,394.147,6.724,10257,-0.097
AgentBrain,0.631,400.704,5.645,10247,-0.089
AgentBrain,0.613,407.375,5.780,10252,-0.083
AgentBrain,0.596,413.295,5.072,10281,-0.077
AgentBrain,0.568,419.718,5.579,10328,-0.071
AgentBrain,0.567,425.549,5.010,10307,-0.064
AgentBrain,0.683,431.865,5.370,10268,-0.059
AgentBrain,0.631,438.078,5.329,10389,-0.052
AgentBrain,0.671,444.600,5.575,10245,-0.048
AgentBrain,0.871,451.783,6.008,10368,-0.043
AgentBrain,0.681,458.776,6.018,10262,-0.037
AgentBrain,0.725,465.667,5.893,10290,-0.032
AgentBrain,0.625,471.919,5.361,10315,-0.026
AgentBrain,0.609,477.868,5.082,10250,-0.022
AgentBrain,0.815,484.140,5.186,10248,-0.016
AgentBrain,0.609,490.905,5.838,10581,-0.010
AgentBrain,0.714,497.155,5.280,10332,-0.008
AgentBrain,0.611,503.227,5.202,10364,-0.005
AgentBrain,0.604,509.103,5.012,10243,-0.002
AgentBrain,0.608,514.930,4.966,10248,0.000
AgentBrain,0.576,520.679,4.936,10252,0.002
AgentBrain,0.572,526.639,5.132,10270,0.005
AgentBrain,0.614,532.380,4.888,10330,0.006
AgentBrain,0.613,538.360,5.108,10427,0.007
AgentBrain,0.609,544.363,5.141,10262,0.009
AgentBrain,0.615,550.010,4.796,10293,0.010
AgentBrain,0.604,555.739,4.881,10301,0.012
AgentBrain,0.607,561.589,4.997,10319,0.014
AgentBrain,0.615,567.560,5.100,10395,0.015
AgentBrain,0.609,573.189,4.782,10264,0.016
AgentBrain,0.575,579.120,5.102,10317,0.019
AgentBrain,0.570,584.830,4.893,10256,0.021
AgentBrain,0.614,590.704,5.005,10245,0.021
AgentBrain,0.602,596.579,5.026,10263,0.021
AgentBrain,0.624,602.415,4.964,10336,0.022
AgentBrain,0.617,608.121,4.841,10275,0.024
AgentBrain,0.584,613.790,4.839,10315,0.026
AgentBrain,0.577,619.633,5.013,10299,0.029
AgentBrain,0.628,625.630,5.115,10302,0.031
AgentBrain,0.696,631.397,4.832,10381,0.032
AgentBrain,0.592,637.961,5.703,10256,0.033
AgentBrain,0.594,643.533,4.740,10247,0.034
AgentBrain,0.575,649.509,5.148,10271,0.036
AgentBrain,0.608,655.307,4.952,10279,0.038
AgentBrain,0.604,660.984,4.819,10282,0.038
AgentBrain,0.597,666.870,5.037,10242,0.038
AgentBrain,0.629,672.752,4.996,10264,0.041
AgentBrain,0.643,678.566,4.927,10329,0.040
AgentBrain,0.605,684.328,4.911,10275,0.040
AgentBrain,0.610,690.276,5.080,10275,0.041
AgentBrain,0.611,696.013,4.876,10286,0.041
AgentBrain,0.663,701.765,4.836,10319,0.041
AgentBrain,0.610,707.656,5.023,10244,0.040
AgentBrain,0.608,713.215,4.710,10334,0.041
AgentBrain,0.761,720.069,5.803,10245,0.040
AgentBrain,0.692,726.844,5.802,10245,0.041
AgentBrain,0.620,732.616,4.905,10329,0.043
AgentBrain,0.635,738.737,5.226,10368,0.044
AgentBrain,0.604,744.589,5.000,10259,0.044
AgentBrain,0.606,750.286,4.846,10251,0.044
AgentBrain,0.584,756.114,4.994,10250,0.045
AgentBrain,0.619,761.912,4.941,10265,0.045
AgentBrain,0.624,768.034,5.233,10326,0.046
AgentBrain,0.618,773.731,4.832,10302,0.046
AgentBrain,0.573,779.393,4.841,10294,0.048
AgentBrain,0.566,785.283,5.068,10289,0.049
AgentBrain,0.572,791.307,5.199,10263,0.051
AgentBrain,0.681,797.269,5.030,10350,0.052
AgentBrain,0.578,802.960,4.862,10299,0.053
AgentBrain,0.587,808.931,5.130,10334,0.055
AgentBrain,0.640,815.039,5.199,10276,0.056
AgentBrain,0.579,821.044,5.178,10295,0.057
AgentBrain,0.678,826.934,4.965,10269,0.058
AgentBrain,0.577,833.505,5.722,10321,0.059
