Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
AgentBrain,1.004,10.429,8.189,10248,-0.792
AgentBrain,0.778,18.951,7.259,10253,-0.765
AgentBrain,0.748,27.611,7.412,10299,-0.695
AgentBrain,0.757,36.530,7.647,10310,-0.577
AgentBrain,0.757,45.089,7.319,10266,-0.488
AgentBrain,0.778,53.619,7.269,10258,-0.329
AgentBrain,0.787,62.770,7.843,10319,-0.218
AgentBrain,0.746,71.621,7.596,10261,-0.116
AgentBrain,0.751,80.218,7.353,10248,-0.014
AgentBrain,0.758,88.981,7.505,10246,0.065
AgentBrain,1.037,98.821,8.243,10274,0.147
AgentBrain,0.769,107.760,7.656,10242,0.215
AgentBrain,0.776,116.576,7.523,10259,0.272
AgentBrain,0.812,125.562,7.647,10254,0.325
AgentBrain,0.759,134.595,7.749,10258,0.375
AgentBrain,1.018,144.548,8.361,10322,0.406
AgentBrain,0.876,155.056,9.015,10259,0.433
AgentBrain,0.804,164.279,7.886,10248,0.460
AgentBrain,1.169,174.279,8.276,10283,0.487
AgentBrain,0.776,183.749,8.135,10293,0.507
AgentBrain,0.841,192.941,7.827,10263,0.527
AgentBrain,0.745,202.108,7.881,10241,0.544
AgentBrain,0.865,211.003,7.584,10288,0.557
AgentBrain,0.760,217.911,5.876,10286,0.557
AgentBrain,0.766,224.807,5.841,10307,0.562
AgentBrain,0.757,231.530,5.680,10363,0.564
AgentBrain,0.778,238.220,5.624,10337,0.567
AgentBrain,0.752,244.819,5.581,10260,0.569
AgentBrain,0.757,251.598,5.744,10270,0.572
AgentBrain,0.754,258.344,5.687,10254,0.575
AgentBrain,0.772,265.418,5.991,10250,0.576
AgentBrain,0.764,272.292,5.829,10252,0.576
AgentBrain,0.763,279.049,5.715,10307,0.577
AgentBrain,1.016,286.023,5.668,10315,0.578
AgentBrain,0.778,293.008,5.897,10273,0.579
AgentBrain,0.776,299.680,5.616,10273,0.580
AgentBrain,0.760,306.610,5.884,10427,0.583
AgentBrain,0.765,313.623,5.956,10255,0.584
AgentBrain,0.762,320.444,5.757,10267,0.586
AgentBrain,0.769,327.288,5.778,10278,0.587
AgentBrain,0.770,334.152,5.811,10284,0.589
AgentBrain,0.777,341.193,5.969,10324,0.591
AgentBrain,0.977,348.374,5.901,10265,0.593
AgentBrain,0.753,355.197,5.755,10262,0.596
AgentBrain,0.809,362.259,5.962,10289,0.597
AgentBrain,0.756,368.914,5.620,10271,0.598
AgentBrain,0.797,375.928,5.911,10331,0.599
AgentBrain,0.798,384.302,7.218,10279,0.600
AgentBrain,0.757,391.159,5.808,10242,0.601
AgentBrain,0.773,398.498,6.255,10260,0.603
AgentBrain,0.763,405.818,6.250,10251,0.604
AgentBrain,0.774,412.898,5.995,10246,0.605
AgentBrain,0.766,420.730,6.732,10241,0.606
AgentBrain,0.754,427.728,5.960,10274,0.608
AgentBrain,0.765,434.595,5.814,10279,0.608
AgentBrain,0.765,441.559,5.887,10318,0.609
AgentBrain,0.797,448.511,5.838,10282,0.609
AgentBrain,0.777,455.622,6.047,10263,0.610
